??,??,??,??,???,"??
??","??
??",??,"??
??","??
??","??
??","??
??"
1,12,???? (L110),???,???,119,1050,4,---,7,01:39.9,3
,,,,,,,,,8,,
,,,,,,,,,7,,
,,,,,,,,,1,,
2,3,???? (K507),???,???,132,1054,9,??,3,01:39.9,11
,,,,,,,,,4,,
,,,,,,,,,3,,
,,,,,,,,,2,,
3,4,???? (H215),???,???,126,1267,8,4?3?,1,01:40.0,35
,,,,,,,,,1,,
,,,,,,,,,1,,
,,,,,,,,,3,,
4,9,???? (H418),???,???,123,1106,3,1/3/2004,4,01:40.2,10
,,,,,,,,,3,,
,,,,,,,,,4,,
,,,,,,,,,4,,
5,2,??? (J208),???,???,130,1108,7,2,10,01:40.2,39
,,,,,,,,,10,,
,,,,,,,,,10,,
,,,,,,,,,5,,
6,6,???? (J454),???,???,127,1093,6,2/1/2002,6,01:40.3,9.9
,,,,,,,,,6,,
,,,,,,,,,6,,
,,,,,,,,,6,,
7,1,???? (H380),???,???,135,1185,1,2/1/2002,9,01:40.3,22
,,,,,,,,,9,,
,,,,,,,,,9,,
,,,,,,,,,7,,
8,11,???? (K566),???,???,117,1070,11,3/1/2004,2,01:40.4,5.7
,,,,,,,,,2,,
,,,,,,,,,2,,
,,,,,,,,,8,,
9,7,???? (K057),??,???,127,1107,12,3/1/2002,11,01:40.4,11
,,,,,,,,,11,,
,,,,,,,,,11,,
,,,,,,,,,9,,
10,10,???? (J050),???,???,121,1191,10,4/1/2004,8,01:40.6,31
,,,,,,,,,7,,
,,,,,,,,,8,,
,,,,,,,,,10,,
11,8,??? (J514),??,???,125,1133,5,5/1/2002,5,01:40.8,4.9
,,,,,,,,,5,,
,,,,,,,,,5,,
,,,,,,,,,11,,
WV-A,5,???? (J197),???,???,129,---,---,---,---,---,---
